,POSItemID,Name
10,65937,TIGER BLOOMER
14,59044,BEEF MINCE
18,22919,SEMI SKIMMED MILK
29,78135,XL VEST BAG
45,56507,5PK BANANAS
65,68282,TOILET TISSUE
69,64716,SALAD POTATOES
77,81309,ICE CUBES 2KG
85,74901,WONDERLOAF MEDIUM
87,8186,DC 500G CLOVER
103,19701,6 Pack Tomatoes
146,23454,6 PINT WHOLE MILK
148,55841,LARGE EGGS 10PK
152,7056,WARBURTONS TOASTIE
195,28536,400G STRAWBERRIES
238,51800,WHITE ROLLS 8PK
253,79712,ORANGE JUICE DRINK
267,79781,TORTILLA WRAPS
272,77082,CARROTS
280,23452,SEMI SKIMMED MILK
283,36831,ICE MIXD PEPPERS 3PK
330,19705,Iceberg Lettuce
360,37924,CHOC MAJESTICS 4PK
377,19722,Clsd Cup Mushrm
378,72651,CORNED BEEF
389,53629,WARB CRUMPET 9PK
392,22918,WHOLE MILK
402,72929,TIGER BLOOMER
427,79716,APPLE JUICE DRINK
436,68905,WHITE LOAF
467,19706,Spring Onions
473,62943,BABY PLUM TOMATOES
528,50759,PEPPERONI PIZZA
534,66338,SAUSAGE ROLLS
628,19699,Cucumber
654,77734,PEPSI CHERRY EF 1.5L
708,3317,LUCOZ 1TR ORANGE
734,64294,BRIOCHE ROLLS 4PK
764,65372,PEPSI MAX 3LTR
821,79703,SMOKED BACK BACON
892,23455,6 PINT SEMI SKIMMED
973,68207,PURE LIFE WATER
990,70820,EASY PEELERS
1040,71160,RED SEEDLESS GRAPES
1092,72842,COCA COLA CLASSIC 1L
1341,63644,POPCORN BUCKET
1349,69745,9PK BANANAS
2161,40886,POT NOODLE
3069,71781,CHICKEN SATAY 5PK
3863,76914,ELM SPRING WATER
14436,74901,HALF HALF MEDIUM
27427,59044,BEEF MINCE 500G
